Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldNotGetKnowsWithInvalidEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldNotGetKnowsWithInvalidEmail2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,shouldNotGetKnowsWithInvalidPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldGetLikesUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldGetHatesUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldGetMultipleLikesUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldGetEmptyLikesUsingPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldNotGetLikesWithInvalidEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldNotGetLikesWithInvalidEmail2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,shouldNotGetLikesWithInvalidPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetTokenHandlerTest,shouldGetTokenUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,GetTokenHandlerTest,shouldNotAuthenticateWithBadToken,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
