Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
buremba_netty-rest,org.rakam.server.http,JsonBeanRequestHandler,handle,Long Statement,The length of the statement "returnError(request`e.getCause() != null ? e.getCause().getClass().getName() + ": " + e.getCause().getMessage() : e.getMessage()`BAD_REQUEST);" is 142.,46
buremba_netty-rest,org.rakam.server.http,JsonBeanRequestHandler,handle,Long Statement,The length of the statement "returnError(request`format("Couldn't parse date value '%s' in json: %s "`e.getParsedString()`e.getMessage())`BAD_REQUEST);" is 122.,46
buremba_netty-rest,org.rakam.server.http,JsonParametrizedRequestHandler,JsonParametrizedRequestHandler,Long Parameter List,The method has 8 parameters. ,45
buremba_netty-rest,org.rakam.server.http,JsonParametrizedRequestHandler,JsonParametrizedRequestHandler,Long Statement,The length of the statement "this.bodyExtractionRequired=bodyParams.stream().anyMatch(a -> a instanceof IRequestParameter.BodyParameter || a instanceof IRequestParameter.FullBodyParameter);" is 160.,45
buremba_netty-rest,org.rakam.server.http,ModelConverters,read,Long Statement,The length of the statement "context.getDefinedModels().entrySet().stream().filter(entry -> entry.getValue().equals(resolve)).forEach(entry -> modelMap.put(entry.getKey()`entry.getValue()));" is 161.,56
buremba_netty-rest,org.rakam.server.http,ParameterProcessor,applyAnnotations,Complex Method,Cyclomatic complexity of the method is 19,44
buremba_netty-rest,org.rakam.server.http,ParameterProcessor,applyAnnotations,Long Statement,The length of the statement "final Map<PropertyBuilder.PropertyId`Object> args=new EnumMap<PropertyBuilder.PropertyId`Object>(PropertyBuilder.PropertyId.class);" is 131.,44
buremba_netty-rest,org.rakam.server.http,ParameterProcessor,applyAnnotations,Long Statement,The length of the statement "final Map<PropertyBuilder.PropertyId`Object> args=new EnumMap<PropertyBuilder.PropertyId`Object>(PropertyBuilder.PropertyId.class);" is 131.,44
buremba_netty-rest,org.rakam.server.http,ParameterProcessor,applyAnnotations,Long Statement,The length of the statement "final Map<PropertyBuilder.PropertyId`Object> args=new EnumMap<PropertyBuilder.PropertyId`Object>(PropertyBuilder.PropertyId.class);" is 131.,44
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest,end,Complex Method,Cyclomatic complexity of the method is 10,192
buremba_netty-rest,org.rakam.server.http,Response,addCookie,Long Parameter List,The method has 7 parameters. ,33
buremba_netty-rest,org.rakam.server.http,SHttpServer,getActiveRequests,Long Statement,The length of the statement "httpServer.processingRequests.entrySet().stream().forEach(r -> builder.compute(r.getKey().getMethod().name() + ":" + r.getKey().getUri()`(k`v) -> (v == null ? new Holder(r.getValue()) : v.add(l - r.getValue()))));" is 213.,17
buremba_netty-rest,org.rakam.server.http,SwaggerReader,SwaggerReader,Long Statement,The length of the statement "swagger.addDefinition("ErrorMessage"`modelConverters.read(HttpServer.ErrorMessage.class).entrySet().iterator().next().getValue());" is 130.,91
buremba_netty-rest,org.rakam.server.http,SwaggerReader,setExternalTypes,Long Statement,The length of the statement "Map<String`PrimitiveType> externalTypesInternal=externalTypes.entrySet().stream().collect(Collectors.toMap(e -> e.getKey().getName()`e -> e.getValue()));" is 153.,104
buremba_netty-rest,org.rakam.server.http,SwaggerReader,read,Complex Conditional,The conditional expression (api != null && readHidden) || (api != null && !api.hidden()) is complex.,129
buremba_netty-rest,org.rakam.server.http,SwaggerReader,read,Complex Method,Cyclomatic complexity of the method is 29,129
buremba_netty-rest,org.rakam.server.http,SwaggerReader,read,Long Method,The method has 132 lines of code.,129
buremba_netty-rest,org.rakam.server.http,SwaggerReader,read,Long Statement,The length of the statement "if (consumesAnn != null && !Arrays.asList(consumesAnn.value()).stream().anyMatch(a -> a.startsWith("application/json"))) {" is 122.,129
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readImplicitParameters,Long Statement,The length of the statement "Property items=PropertyBuilder.build(serializableParameter.getType()`serializableParameter.getFormat()`ImmutableMap.of());" is 122.,299
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readImplicitParam,Long Statement,The length of the statement "return ParameterProcessor.applyAnnotations(swagger`p`type == null ? String.class : type`Arrays.<Annotation>asList(param));" is 122.,344
buremba_netty-rest,org.rakam.server.http,SwaggerReader,typeFromString,Empty catch clause,The method has an empty catch block.,376
