Project Name,Package Name,Architecture Smell,Cause of the Smell
ngladitz_emma,com.vladium.jcd.cls,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.jcd.cls; com.vladium.jcd.cls.attribute; com.vladium.jcd.cls
ngladitz_emma,com.vladium.jcd.cls,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.jcd.cls; com.vladium.util; com.vladium.jcd.cls
ngladitz_emma,com.vladium.jcd.cls,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.jcd.cls; com.vladium.jcd.cls.constant; com.vladium.jcd.cls
ngladitz_emma,com.vladium.jcd.lib,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.jcd.cls
ngladitz_emma,com.vladium.jcd.lib,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Types]; [Types.signatureCompiler]; [Types.typeDescriptorCompiler]; [Types.typeDescriptorCompiler2]; [Types.methodDescriptorCompiler]; [UDataInputStream]; [UDataOutputStream]. LCC (Lack of Component Cohesion) = 1.0
ngladitz_emma,com.vladium.logging,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.emma
ngladitz_emma,com.vladium.util.args,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IOptsParser; OptsParser; OptsParser.Opt; OptsParser.Opts]; [IOptsParser.IOpt]; [IOptsParser.IOpts]; [IOptsParser.Factory]; [OptsParser.OptDef]; [OptsParser.OptDefMetadata]; [OptsParser.MetadataParser]; [OptsParser.Token]. LCC (Lack of Component Cohesion) = 0.73
ngladitz_emma,com.vladium.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
ngladitz_emma,com.vladium.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.jcd.cls; com.vladium.logging
ngladitz_emma,com.vladium.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ByteArrayIStream; ByteArrayOStream]; [ClassLoadContext; ClassLoaderResolver; IClassLoadStrategy; ResourceLoader; ClassLoaderResolver.DefaultClassLoadStrategy; Property; XProperties; Property.FilePropertyLookup; Property.SystemPropertyLookup; Property.SystemRedirectsLookup]; [ClassLoaderResolver.CallerResolver]; [Descriptors]; [Files; IConstants; IntObjectMap; IntSet; IntVector; IProperties; IProperties.Factory; IProperties.PropertiesImpl; Strings; IntegerFactory]; [IntIntMap]; [IntIntMap.Entry]; [IntObjectMap.Entry]; [IntSet.Entry]; [IPathEnumerator; IPathEnumerator.PathEnumerator]; [IPathEnumerator.IPathHandler]; [IPathEnumerator.Factory]; [IProperties.IMapper]; [ObjectIntMap]; [ObjectIntMap.Entry]; [SoftValueMap]; [SoftValueMap.IndexedSoftReference]; [SoftValueMap.SoftEntry]; [WCMatcher; WCMatcher.AllMatcher; WCMatcher.EmptyMatcher; WCMatcher.StartsWithMatcher; WCMatcher.EndsWithMatcher; WCMatcher.PatternMatcher]; [IJREVersion]; [IJREVersion._JREVersion]. LCC (Lack of Component Cohesion) = 0.46
ngladitz_emma,com.vladium.util.exception,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractException; ExceptionCommon; ICodedException; IThrowableWrapper; AbstractRuntimeException]; [Exceptions]. LCC (Lack of Component Cohesion) = 0.33
