Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
presentation.gui.windows.world,DrawingWindow.InternalFrameHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.ScrollHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.ScrollHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.DragHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,DrawingWindow.DragHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WorldWindow,,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.TreeExpansionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.TreeExpansionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.LaterUpdater,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.LaterUpdater,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.NBTRenderer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,NBTviewer.NBTRenderer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.gui.windows.world,WorldWindow.CloseHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation.gui.windows.world,WorldWindow.CloseHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.main,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATIONTITLE; MOTD; MAX_FPS; SCHEMATICSDIR; EXPORTDIR; TILEMAPSFILE; TILEIMAGES; IMAGEEXTENSION; GRAPHICSEPARATOR; BLOCKSFILE; JAXP_SCHEMA_LANGUAGE; W3C_XML_SCHEMA; COLORBACKGROUND; COLORACTIVELAYER; COLORCURSOR; COLORENTITY; COLORENTITYVECTOR; COLORSELECTIONBORDER; COLORSELECTIONINTERIOR; DEFAULTZOOM; ENTITYVELOCITYMULTIPLIER,,CXgamer_MC-ticker
presentation.main,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: APPLICATIONTITLE; MOTD; MAX_FPS; SCHEMATICSDIR; EXPORTDIR; TILEMAPSFILE; TILEIMAGES; IMAGEEXTENSION; GRAPHICSEPARATOR; BLOCKSFILE; JAXP_SCHEMA_LANGUAGE; W3C_XML_SCHEMA; COLORBACKGROUND; COLORACTIVELAYER; COLORCURSOR; COLORENTITY; COLORENTITYVECTOR; COLORSELECTIONBORDER; COLORSELECTIONINTERIOR; DEFAULTZOOM; ENTITYVELOCITYMULTIPLIER,,CXgamer_MC-ticker
presentation.main,Cord2S,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; y,,CXgamer_MC-ticker
presentation.main,Cord3S,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; y; z,,CXgamer_MC-ticker
presentation.objects,Block,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLOCK_AIR; BLOCK_IRON; BLOCK_CHEST; BLOCK_WIRE; DATA_NONE; id; data,,CXgamer_MC-ticker
presentation.objects,Orientation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
presentation,StatusPanel,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.threads,ExportSeriesRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.tools,Tool,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener,,CXgamer_MC-ticker
presentation.tools,ToolActivate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.tools,ToolDebug,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.tools,ToolPlace,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.tools,ToolSelect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
presentation.tools,ToolUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
